c_id,iso3,country,pop_thousands,pop_prob,sex_ratio,male_ratio,median_age,c_id-2,country-2,sub15,sub65,65plus,region
182,SLE,Sierra Leone,8461,0.0010459,99.5,0.5,19.3,182, Sierra Leone,0.405,0.569,0.026,Africa
183,SGP,Singapore,5789,0.0007157,107,0.52,35.1,183, Singapore,0.148,0.715,0.137,Asia
184,SXM,Sint Maarten (Dutch part),43,0.0000053,95.1,0.49,41.6,184, Sint Maarten,0.185,0.672,0.143,Oceania
185,SVK,Slovakia,5518,0.0006822,95.4,0.49,41.3,185, Slovakia,0.149,0.665,0.186,Europe
186,SVN,Slovenia,2118,0.0002619,100.9,0.5,43.9,186, Slovenia,0.146,0.627,0.227,Europe
187,SLB,Solomon Islands,800,0.0000989,104.6,0.51,20.3,187, Solomon Islands,0.311,0.638,0.051,Oceania
188,SOM,Somalia,18359,0.0022696,100.4,0.5,15.4,188, Somalia,0.415,0.558,0.027,Africa
189,ZAF,South Africa,63212,0.0078147,94.7,0.49,28.2,189, South Africa,0.275,0.661,0.064,Africa
190,KOR,South Korea,51749,0.0063975,99.7,0.5,44.5,190, South Korea,0.113,0.694,0.193,Asia
191,SSD,South Sudan,11483,0.0014196,96.8,0.49,18,191, South Sudan,0.419,0.555,0.026,Africa
192,ESP,Spain,47912,0.0059231,96.5,0.49,44.9,192, Spain,0.134,0.661,0.205,Europe
193,LKA,Sri Lanka,22972,0.0028399,93.8,0.48,32.8,193, Sri Lanka,0.22,0.662,0.118,Asia
194,SDN,Sudan,50043,0.0061866,98.4,0.5,18.3,194, Sudan,0.405,0.564,0.032,Africa
195,SUR,Suriname,629,0.0000777,99.9,0.5,28.1,195, Suriname,0.228,0.7,0.073,South America
196,SWE,Sweden,10551,0.0013044,101.4,0.5,39.9,196, Sweden,0.173,0.621,0.207,Europe
197,CHE,Switzerland,8871,0.0010966,98.7,0.5,42.3,197, Switzerland,0.155,0.651,0.194,Europe
198,SYR,Syrian Arab Republic,23595,0.0029169,100,0.5,22.2,198, Syria,0.333,0.626,0.042,Asia
199,TWN,Taiwan Province of China,23317,0.0028826,98.2,0.5,43.5,199, Taiwan,0.122,0.697,0.181,Asia
